id,tradition,period_zh,period_en,title_zh,title_script,title_en
evt_001,india,公元前6–4世纪,6th–4th c. BCE,释迦牟尼说法·纯口传,बुद्धवचन,"The Buddha's word, oral only"
evt_002,india,约前404年,c. 404 BCE,第一次结集（王舍城）,paṭhama-saṅgīti,"First Council — Sūtra, Vinaya, Abhidharma"
evt_003,india,前383–330年,383–330 BCE,第二次结集（毗舍离）·根本分裂,dutiya-saṅgīti,Second Council; Sthavira / Mahāsāṃghika split
evt_004,india,约前250年,c. 250 BCE,第三次结集（华氏城）·阿育王护法,Aśoka,Third Council; missions dispatched
evt_005,india,前1世纪,1st c. BCE,大乘兴起·般若经典结集,Prajñāpāramitā,Rise of Mahāyāna
evt_006,pali,前1世纪,1st c. BCE,巴利三藏贝叶写定（阿卢寺）,ත්‍රිපිටකය,Tipiṭaka committed to writing
evt_007,india,1–2世纪,1st–2nd c.,迦腻色迦·说一切有部结集,Sarvāstivāda,Kaniṣka's council
evt_008,sanskrit,1–2世纪,1st–2nd c.,佛典梵语化·混合梵语写本,Buddhist Hybrid Sanskrit,Canon recast in Sanskrit
evt_009,pali,约前250年,c. 250 BCE,摩哂陀奉使入狮子国·大寺立,Mahinda / Mahāvihāra,Theravāda takes root in Laṅkā
evt_010,silkroad,1–2世纪,1st–2nd c.,犍陀罗佉卢文桦皮写卷,Gāndhārī / Kharoṣṭhī,Oldest surviving Buddhist manuscripts
evt_011,chinese,1–2世纪,1st–2nd c.,白马驮经·安世高洛阳译场,安世高,"Buddhism enters China, 148 CE"
evt_012,pali,4–5世纪,4th–5th c.,觉音·《清净道论》与巴利注疏,විසුද්ධිමග්ග,Buddhaghosa; the aṭṭhakathā corpus
evt_013,india,2–3世纪,2nd–3rd c.,龙树·中观学派,नागार्जुन,Nāgārjuna; Madhyamaka
evt_014,sanskrit,4–5世纪,4th–5th c.,鲍威尔写本（库车）·现存最古梵文写本之一,Bower Manuscript,Earliest Sanskrit birch-bark codex
evt_015,silkroad,2–3世纪,2nd–3rd c.,于阗·龟兹·吐火罗语佛典,Khotanese / Tocharian,Silk Road translation centres
evt_016,chinese,2–3世纪,2nd–3rd c.,竺法护译《正法华经》,竺法護,Dharmarakṣa
evt_017,india,4–5世纪,4th–5th c.,无著·世亲·瑜伽行派,असङ्ग · वसुबन्धु,Asaṅga and Vasubandhu
evt_018,chinese,868年,868,敦煌《金刚经》卷子·现存最早纪年印本,敦煌刻本,Dunhuang Diamond Sūtra — earliest dated print
evt_019,chinese,4–5世纪,4th–5th c.,鸠摩罗什长安译场（401–413）,鳩摩羅什,Kumārajīva at Chang'an
evt_020,india,5–6世纪,5th–6th c.,那烂陀寺·印度佛学中心,नालन्दा,Nālandā founded
evt_021,sanskrit,5–6世纪,5th–6th c.,吉尔吉特写本（克什米尔）,Gilgit Manuscripts,5th–7th c.; found 1931
evt_022,pali,12世纪中叶,mid-12th c.,波隆纳鲁沃·波罗迦罗摩巴忽一世整肃僧团（1165）,පොළොන්නරුව,Sangha unified under Parākramabāhu I
evt_023,chinese,594 / 730年,594 / 730,《众经目录》《开元释教录》·汉文经录成立,開元釋教錄,Catalogues fix the Chinese corpus
evt_024,india,8世纪,8th c.,密乘大成·超戒寺,Vikramaśīla,Vajrayāna flourishes
evt_025,sanskrit,11世纪,11th c.,尼泊尔贝叶写本传承·九法宝典,नवग्रन्थ,Navagrantha; Newar manuscript culture
evt_026,chinese,645–664年,645–664,玄奘译场·《大般若经》六百卷,玄奘,Xuanzang's translation bureau
evt_027,sinosphere,8世纪,8th c.,奈良写经所·官修一切经,一切経書写,State scriptoria copy the canon
evt_028,tibetan,645–664年,645–664,松赞干布·吞弥桑布扎创制藏文,ཐུ་མི་སམྦྷོ་ཊ།,Tibetan script devised
evt_029,sinosphere,5–6世纪,5th–6th c.,佛教经百济传入日本（538/552）,仏教東漸,Buddhism reaches Japan
evt_030,tibetan,5–6世纪,5th–6th c.,拉托托日年赞·经典初入吐蕃,ལྷ་ཐོ་ཐོ་རི་གཉན་བཙན།,Scriptures first reach Tibet
evt_031,chinese,8世纪,8th c.,善无畏·金刚智·不空·唐密译经,不空,Esoteric transmission to Tang China
evt_032,tibetan,8世纪,8th c.,赤松德赞·桑耶寺·前弘期译场,བསམ་ཡས། སྔ་དར།,Samye; imperial translation project
evt_033,tibetan,824年,824,《丹噶目录》·吐蕃译经总目,ལྡན་དཀར་མ།,Denkarma — earliest catalogue of Tibetan translations
evt_034,india,1203年,1203,超戒寺毁·印度佛教衰亡,Vikramaśīla destroyed,End of institutional Buddhism in India
evt_035,chinese,983年,983,《开宝藏》成都刊·首部刻本大藏经,開寶藏,Kaibao Canon — first printed canon
